id,name,date,estimated_cost,contract_value,winner
e461a18abad78b29d85576db17c796b68e8dce61f3b70cf57bc73035a7f82c37,Kırşehir Hastane Deresi Sel Kapanı,30.12.2024 10:00,152380990.26,104349349.49,LİDYA GRUP MÜHENDİSLİK ANONİM ŞİRKETİ
c8418421b1498eeb94c8c744e375dee031e398bf9b23597e0a2b3c2f107fd338,"İçme Suyu, Su Kayıpları ve Şebeke Yönetimi Scada Sistemi İşletme Teknik Destek Hizmet Alımı",30.12.2024 10:00,18834791.67,17978250.0,IDS SİSTEM YAPI SANAYİ VE TİCARET ANONİM ŞİRKETİ
9a43e45868012b12f5d0aae0791a9c7b5d63bc9b4d8285b71692fd465000e99a,Bingöl-Merkez Yeşilköy Mikrohavzası Proje Yapımı,30.12.2024 10:00,4321016.67,4296000.0,G F PROJE MÜHENDİSLİK MÜŞAVİRLİK BİLİŞİM YAZILIM DONANIM TİCARET LİMİTED ŞİRKETİ
0c2997d51e4e75d03d15ddc9d976bd6d203d4d6db1dc1693e0778ff6b5fcd40f,"Bingöl 100 Yataklı Öğretmenevi Yapım İşine Esas Mimari, Statik, Mekanik, Elektrik, Zemin Etüdü, Plankote ve İhale esas Dosyanın Hazırlanması Proje Hizmet Alım İşi  ( Taban Alanı 830 M2 B+Z+4 Kat Toplam İnşaat Alanı 5020 M2+ Konferans Salonu 400 M2)",30.12.2024 10:00,1740000.0,990000.0,AS GRUP MİMARLIK MÜHENDİSLİK RESTORASYON İNŞAAT TURİZM VE TİCARET LİMİTED ŞİRKETİ
85d6958ad885f06ee3d79d2dc00f3f23c310e012a23204b49e9da1a5e13f78e9,5 KALEM TEMSA OTOBÜS YEDEK PARÇA TEMİNİ,27.12.2024 17:30,993000.0,24000.0,KAYILAR GRUP BİLİŞİM VE OTOMOTİV ANONİM ŞİRKETİ
098a8355955856c2fa358473d37b927e90edb11ef9578cb053a755486a0ed919,2 AY SÜRELİ ARAÇ KİRALAMA HİZMET ALIMI,27.12.2024 16:30,4011435.0,3703456.8,UMUT TUR SERVİS HİZ.TAŞ.GIDA OTO.TRZSAN.VE TİC.LTD.Ş
8189197fde5b1f82c27cb824db170bcb97b5bc9d3c014d1b21cba7c9f9dcdd9c,3 AYLIK RAPORLAMA DAHİL GÖRÜNTÜLEME HİZMET ALIMI,27.12.2024 16:00,16683457.98,11469849.12,SY RADYOLOJİ SAĞLIK HİZMETLERİ VE İNŞAAT LİMİTED ŞİRKETİ
7e64ea3aa6a0bd088b89270a280b219292149f0d100d4fb6de78deda0dceffcb,24 AYLIK DİGİTAL PATOLOJİ DOKU TAKİP VE OTOMATİK BLOKLAMA HİZMET ALIMI,27.12.2024 15:00,64521390.24,65541390.24,MİRAY BİO MEDİKAL ÜRÜNLER TİCARET LİMİTED ŞİRKETİ
b8d1f93090c9169d051081c323cd541e5afa10ec554e032d0e4c60473ed0bf04,PLASTİK REKONSTRÜKTİF VE ESTETİK CERRAHİ AD SARF MALZEMELERİ,27.12.2024 15:00,3034808.59,393660.0,SERPİL KULAKSIZ
275e1d060be7d4feb8d54253c84d8cf480fa77170437e2e9bdd43c590d90a354,SUNUCU VE VERİ DEPOLAMA KONTROL ÜNİTESİ DESTEK PAKETİ YENİLENMESİ HİZMETİ,27.12.2024 15:00,3841449.5,2774625.0,BİLGİTÜRK BİLGİSAYAR TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ
1511dcbbb3dde176f0d125274b142e8e4dc097b661bd2486307355b4f711b385,2025 Yılı Vmware Yazılımları Lisans Yenileme Alımı,27.12.2024 14:30,5900466.67,4048000.0,İNTRON BİLİŞİM YAZILIM TANITIM VE TASARIM HİZMETLERİ SANAYİ TİCARET ANONİM ŞİRKETİ
dff0904a2a59c5d93be7832ae3ec9c843600c57c3fdb39735996b8b4ac92eade,2025-2027 Yılları Ardahan İl Sağlık Müdürlüğüne Bağlı Halk Sağlığı ve TSM Aile Hekimlikleri Merkezi Laboratuvar Bilgi Sistemi (LBYS) Hizmet Alımı İhalesi,27.12.2024 14:30,1571351.4,1350000.0,SİSOFT SAĞLIK BİLGİ SİSTEMLERİ ANONİM ŞİRKETİ
539f634f812388d7e6989d9ca59a5a3a1a34db27fe5065e20730a20386860fa9,Çıktı Başı Baskı Hizmet Alımı,27.12.2024 14:30,1652560.0,1190000.0,MASTEK TEKNOLOJİ BİLİŞİM BİLGİSAYAR SANAYİ VE TİCARET LİMİTED ŞİRKETİ
cb4d7a923ae404f51765cde7511dcd6f980bcb897e3d5b7a4330f9a2a56ccdf8,"Isparta Emniyet Müdürlüğü ve Eğirdir İlçe Emniyet Müdürlüğü Kent Güvenlik Yönetim Sistemi Genişleme, Modernizasyon projesi montajlı mal alımı işi",27.12.2024 14:30,2073523.33,1412450.0,GLOBAL FORTE BİLİŞİM TEKNOLOJİLERİ VE DANIŞMANLIK ANONİM ŞİRKETİ
b9d0e049be4cb550b5fffb17e3b61243a05ef56dd5c75ccfcbe58a2d88ab5a61,"MÜDÜRLÜĞÜMÜZE BAĞLI HARAKANİ DEVLET HASTANESİNDE KULLANILMAK ÜZERE 6 YATAK KAPASİTELİ 2 SEVİYE ÇOCUK YOĞUN BAKIM TADİLAT VE YOĞUN BAKIM, AMELİYATHANE ZEMİNİ PVC BAKIM ONARIM ALIM İŞİ",27.12.2024 14:00,,,
7c3bebfef0505ffe321034d824ea745480cfa174a7f9bd489584292f077d0ef5,Türkoğlu İlçesi  Yedi Güzel Adam Anadolu İmam Hatip Lisesi  Güçlendirme ve Genel Onarım İşi,27.12.2024 14:00,70937496.06,53472000.0,KA-YAPI İNŞAAT ELEKTRİK VE ELEKTRONİK NAK.PET.ÜR.GID
dfdf0b235fa79db910ed28a483a5199c7f1316e19ec411314f5a70dd050d2b35,Halkevi Gençlik Merkezi Tasarım Kulübü Bilişim Malzemeleri,27.12.2024 14:00,2026885.0,2019800.0,EMRULLAH YOLASIĞMAZ
5606902d40361e36a83341a10fc18c811aa8c5a6137eeb9d829928e62dcf8437,MUHTELİF,27.12.2024 14:00,1744913.86,1744913.86,KORSİS BİLİŞİM SİSTEMLERİ DANIŞMANLIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ
